./.devin/rules/hard-constraints.yaml:98:52: [error] syntax error: found unknown escape character 's' (syntax)
./.devin/rules/safety-rules.yaml:39:31: [error] syntax error: expected <block end>, but found ']' (syntax)
./.fabric/prod-gates.policy.yaml:262:3: [error] duplication of key "tenant-isolation" in mapping (key-duplicates)
./.github/workflows/contract-compliance.yml:482:9: [error] duplication of key "working-directory" in mapping (key-duplicates)
./.github/workflows/frontend-route-audit-check.yml:48:1: [error] too many blank lines (1 > 0) (empty-lines)
./.github/workflows/security-gates.yml:713:1: [error] too many blank lines (1 > 0) (empty-lines)
./.semgrep/error-leakage-guard.yml:12:61: [error] syntax error: mapping values are not allowed here (syntax)
./artifacts/live-workflow-validation/docker-compose.live.resolved.yml:68:7: [error] syntax error: could not find expected ':' (syntax)
./artifacts/patches/extracted/sprint-1/k8s/base/postgres-backup-cronjob.yaml:146:1: [error] too many blank lines (1 > 0) (empty-lines)
./bunnyshell.yaml:27:5: [error] wrong indentation: expected 2 but found 4 (indentation)
./bunnyshell.yaml:28:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:34:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:35:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:38:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:51:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:52:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:61:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:63:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:64:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:65:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell.yaml:68:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:69:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:73:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:79:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:80:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:83:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:85:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:99:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:100:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:109:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:110:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:111:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell.yaml:114:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:120:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:121:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:124:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:126:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:133:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:142:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:143:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:144:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell.yaml:147:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:153:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:154:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:157:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:174:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:175:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:184:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:185:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:186:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell.yaml:189:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:195:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:196:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:199:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:206:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:207:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:216:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:217:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:218:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell.yaml:221:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:227:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:228:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:231:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:256:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:257:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:266:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:268:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:269:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:270:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell.yaml:273:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:274:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:278:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:284:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:285:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:288:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:302:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:303:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:312:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:313:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:314:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell.yaml:317:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:323:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:324:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:327:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:341:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:345:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:346:21: [error] wrong indentation: expected 18 but found 20 (indentation)
./bunnyshell.yaml:347:25: [error] wrong indentation: expected 22 but found 24 (indentation)
./bunnyshell.yaml:350:9: [error] wrong indentation: expected 6 but found 8 (indentation)
./bunnyshell.yaml:356:13: [error] wrong indentation: expected 10 but found 12 (indentation)
./bunnyshell.yaml:357:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:360:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:377:17: [error] wrong indentation: expected 14 but found 16 (indentation)
./bunnyshell.yaml:378:21: [error] wrong indentation: expected 18 but found 20 (indentation)
